identifier,genus,species,subspecies,kcat_dH,Kc_dH,Ko_dH,S_dH,form,taxonomy,group,note,short_ref
nivara_orr_2016_dH,Oryza,nivara,,71.2,33.9,-97.1,-16.8,1B,C3 plants,Plants,,Orr 2016
punctata_orr_2016_dH,Oryza,punctata,,85.8,38.6,-5.0,-14.9,1B,C3 plants,Plants,,Orr 2016
indica_orr_2016_dH,Oryza,sativa,Indica,67.4,43.3,-17.9,-25.3,1B,C3 plants,Plants,,Orr 2016
japonica_orr_2016_dH,Oryza,sativa,Japonica,78.1,74.5,-11.9,-16.0,1B,C3 plants,Plants,,Orr 2016
rubra_orr_2016_dH,Oxybasis,rubra,,56.7,20.2,-30.2,-16.8,1B,C3 plants,Plants,,Orr 2016
amarum_orr_2016_dH,Panicum,amarum,,79.7,10.5,10.3,-18.3,1B,C4 plants,Plants,,Orr 2016
dichotomiflorum_orr_2016_dH,Panicum,dichotomiflorum,,68.6,33.0,-17.6,-10.4,1B,C4 plants,Plants,,Orr 2016
phragmitoides_orr_2016_dH,Panicum,phragmitoides,,47.6,14.3,-86.4,-14.7,1B,C4 plants,Plants,,Orr 2016
carteri_orr_2016_dH,Phaseolus,carteri,,52.4,12.9,-43.2,-22.7,1B,C3 plants,Plants,,Orr 2016
coccineus_orr_2016_dH,Phaseolus,coccineus,,57.9,34.1,-22.4,-11.9,1B,C3 plants,Plants,,Orr 2016
lunatus_orr_2016_dH,Phaseolus,lunatus,,88.0,58.8,3.7,-13.6,1B,C3 plants,Plants,,Orr 2016
p_vulgaris_orr_2016_dH,Phaseolus,vulgaris,,72.4,90.8,20.6,-11.7,1B,C3 plants,Plants,,Orr 2016
palustris_orr_2016_dH,Poa,palustris,,55.7,20.7,-9.6,-17.6,1B,C3 plants,Plants,,Orr 2016
distans_orr_2016_dH,Puccinellia,distans,,78.5,103.3,39.9,-14.3,1B,C3 plants,Plants,,Orr 2016
lemmonii_orr_2016_dH,Puccinellia,lemmonii,,57.4,43.3,-36.8,-13.7,1B,C3 plants,Plants,,Orr 2016
maritima_orr_2016_dH,Puccinellia,maritima,,61.3,30.0,-18.7,-21.3,1B,C3 plants,Plants,,Orr 2016
nuttalliana_orr_2016_dH,Puccinellia,nuttalliana,,57.7,36.4,-36.7,-14.6,1B,C3 plants,Plants,,Orr 2016
montana_orr_2016_dH,Pueraria,montana,,78.0,64.9,-56.5,-16.1,1B,C3 plants,Plants,,Orr 2016
stenocarpa_orr_2016_dH,Sphenostylis,stenocarpa,,66.8,53.5,-35.4,-17.5,1B,C3 plants,Plants,,Orr 2016
candida_orr_2016_dH,Tephrosia,candida,,71.1,30.4,-43.6,-20.0,1B,C3 plants,Plants,,Orr 2016
purpurea_orr_2016_dH,Tephrosia,purpurea,,77.2,33.5,-9.2,-12.4,1B,C3 plants,Plants,,Orr 2016
rhodesica_orr_2016_dH,Tephrosia,rhodesica,,80.9,19.5,89.6,-21.8,1B,C3 plants,Plants,,Orr 2016
aestivum_orr_2016_dH,Triticum,aestivum,,64.0,42.7,-38.7,-16.6,1B,C3 plants,Plants,,Orr 2016
boeoticum_orr_2016_dH,Triticum,boeoticum,,92.5,55.0,-15.0,-19.5,1B,C3 plants,Plants,,Orr 2016
